experiment_id,strategy_id,strategy_version,status,spec_path,config_path,strategy_config_sha256,git_commit,data_manifest_sha256,execution_profile_sha256,engine_version,run_seed,started_at,completed_at,primary_metric,primary_metric_value,decision
trend_pullback_v1_baseline_001,trend_pullback_v1,1.0.0,completed,docs/research/trend_pullback_v1.md,config/strategies/trend_pullback_v1.yaml,d21100fc8412f4d258efdc90b2f1a936c0eb27cd6f88081ae082f24ae6d4cc5e,4bb4ec507cfd5bf4cb1a47cd8c6972eeafb6c248,e0179100fc312920101fef4dd9d67c49eb07f6501c6acd083c14f98840cc6eb8,5bfb0349fff97a08a8b5d97a6e79b39c694a9038730e1be1e5dcb3f66b3f29cc,nautilus-trader==2.0.0rc2,7,2026-08-14T09:06:21Z,2026-08-14T09:06:21Z,validation_mean_net_r_per_trade,-0.146818181818628,fail
leo_gbpusd_v1_baseline_001,leo_gbpusd_v1,1.0.0,specified_not_run,docs/research/leo_gbpusd_v1.md,config/strategies/leo_gbpusd_v1.yaml,5c89c825db340c49f10c18fdc3982b03f23ade718a5889e4e2ef662081abbf4c,,,,,,,,validation_mean_net_r_per_trade,,not_evaluated
